ts,open,high,low,close,volume
2022-11-30,1216.63,1315.0,1212.33,1294.83,162607.775238
2022-12-01,1294.85,1300.0,1263.03,1276.51,93784.82866
2022-12-02,1276.47,1297.41,1265.4,1295.3,81604.766789
2022-12-03,1295.3,1312.4,1236.19,1240.51,81716.07823
2022-12-04,1240.78,1287.0,1240.41,1279.49,67151.135279
2022-12-05,1279.52,1305.45,1246.9,1259.64,111465.372283
2022-12-06,1259.68,1274.86,1241.31,1271.44,60144.261302
2022-12-07,1271.41,1278.44,1217.35,1231.28,114026.807176
2022-12-08,1231.21,1294.0,1222.09,1280.31,114244.278962
2022-12-09,1280.31,1298.0,1255.79,1263.01,93858.805701
2022-12-10,1262.95,1283.92,1259.35,1266.69,36352.104749
2022-12-11,1266.7,1284.98,1255.72,1263.37,37429.439877
2022-12-12,1263.28,1279.0,1240.2,1275.47,75374.627138
2022-12-13,1275.47,1356.0,1254.97,1321.16,194526.594693
2022-12-14,1321.17,1353.33,1301.0,1308.24,152204.375479
2022-12-15,1308.12,1311.67,1259.57,1266.88,126657.59257
2022-12-16,1266.91,1279.92,1155.71,1166.93,241566.88358
2022-12-17,1166.83,1190.0,1162.03,1186.93,71423.164179
2022-12-18,1186.93,1194.6,1175.01,1182.89,19615.271103
2022-12-19,1182.9,1194.76,1150.29,1167.9,83305.370499
2022-12-20,1167.88,1231.72,1163.29,1217.04,119032.445012
2022-12-21,1216.93,1223.56,1203.49,1213.82,56204.139387
2022-12-22,1213.8,1238.69,1183.06,1217.86,108692.807338
2022-12-23,1217.86,1232.49,1212.0,1220.13,74416.788458
2022-12-24,1220.14,1227.99,1214.74,1220.75,32200.479111
2022-12-25,1220.75,1225.99,1190.0,1218.54,80342.119034
2022-12-26,1218.55,1231.38,1211.23,1227.99,34593.246339
2022-12-27,1228.13,1233.62,1201.0,1211.75,66836.192487
2022-12-28,1211.75,1215.99,1180.6,1190.37,102674.581334
2022-12-29,1190.32,1207.1,1187.14,1200.7,65754.888091
2022-12-30,1200.61,1202.27,1181.57,1200.06,59232.521445
2022-12-31,1200.02,1208.87,1191.7,1196.32,36183.982069
2023-01-01,1196.39,1204.7,1191.27,1200.43,26631.663177
2023-01-02,1200.27,1224.64,1192.9,1214.0,75316.112867
2023-01-03,1214.0,1220.0,1204.98,1214.51,37567.055613
2023-01-04,1214.51,1273.55,1212.73,1256.73,175177.683886
2023-01-05,1256.74,1259.98,1243.0,1251.34,58564.62865
2023-01-06,1251.41,1276.99,1235.08,1269.04,106294.068062
2023-01-07,1269.05,1271.08,1261.31,1264.04,28293.020448
2023-01-08,1264.08,1297.17,1257.8,1290.09,69904.098276
