ts,open,high,low,close,volume,funding
2022-12-19,12.37,12.57,11.65,11.93,3288440.0,0.0001
2022-12-20,11.93,12.49,11.82,12.25,2928614.0,0.0001
2022-12-21,12.25,12.28,11.87,12.13,2214847.0,0.0001
2022-12-22,12.13,12.18,11.67,11.81,2490397.0,0.0001
2022-12-23,11.81,12.1,11.71,11.78,2718108.0,0.0001
2022-12-24,11.78,11.78,11.03,11.44,4920929.0,0.0001
2022-12-25,11.44,11.54,11.23,11.37,2399219.0,0.0001
2022-12-26,11.37,11.49,11.06,11.33,2397297.0,0.0001
2022-12-27,11.329,11.449,10.68,11.096,6044670.0,0.0001
2022-12-28,11.096,11.136,9.371,9.756,14688515.0,0.0001
2022-12-29,9.755,10.84,7.788,9.605,31144434.0,0.0001
2022-12-30,9.612,10.28,8.972,9.884,37680693.0,0.0001
2022-12-31,9.887,10.246,9.653,9.971,12627199.0,0.0001
2023-01-01,9.97,10.089,9.692,9.983,8720655.0,0.0001
2023-01-02,9.982,12.142,9.803,11.262,19439819.0,0.0001
2023-01-03,11.262,13.86,10.992,13.377,42295743.0,0.0001
2023-01-04,13.377,14.192,12.794,13.4,43744426.0,0.0001
2023-01-05,13.397,13.813,12.925,13.427,20489417.0,0.0001
2023-01-06,13.426,13.611,12.631,13.51,20809889.0,0.0001
2023-01-07,13.506,13.511,13.011,13.095,7362016.0,0.0001
2023-01-08,13.093,14.988,12.841,14.468,20747813.0,0.0001
2023-01-09,14.461,17.493,14.283,16.276,41620153.0,0.0001
2023-01-10,16.275,16.752,15.532,16.2,20530103.0,0.0001
2023-01-11,16.197,16.616,15.27,16.364,15173211.0,0.0001
2023-01-12,16.369,17.043,15.49,16.599,18317376.0,0.0001
2023-01-13,16.599,18.659,16.289,18.307,17943860.0,0.0001
2023-01-14,18.311,24.88,18.21,24.288,56765281.0,0.0001
2023-01-15,24.281,25.16,21.98,22.886,25774229.0,0.0001
2023-01-16,22.886,25.0,22.2,23.61,20290363.0,0.0001
2023-01-17,23.61,24.0,22.656,22.833,12125353.0,0.0001
2023-01-18,22.833,23.668,20.336,20.817,22582351.0,0.0001
